# Wireshark / IEEE OUI database for NetScanner
# Format: <MAC prefix>\t<Short Name>\t<Full Vendor Name>
#
00:00:00	Officially	Officially Xerox, but 0:0:0:0:0:0 is more common
68:55:D4	Seiko	Seiko Epson Corporation
68:57:2D	Tuya	Tuya Smart Inc.
68:72:51	Ubiquiti	Ubiquiti Inc
68:7F:74	CiscoLinksys	Cisco-Linksys, LLC
68:87:1C	Motorola	Motorola Mobility LLC, a Lenovo Company
68:92:68	Motorola	Motorola Mobility LLC, a Lenovo Company
68:C4:4D	Motorola	Motorola Mobility LLC, a Lenovo Company
68:D7:9A	Ubiquiti	Ubiquiti Inc
68:F2:1F	Bose	Bose Corporation
6C:15:DB	Arcadyan	Arcadyan Corporation
6C:19:8F	DLink	D-Link International
6C:3C:7C	Canon	Canon Inc.
6C:60:16	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
6C:63:F8	Ubiquiti	Ubiquiti Inc
6C:72:20	DLink	D-Link International
6C:83:75	Broadcom	Broadcom Limited
6C:92:CF	Broadcom	Broadcom Limited
6C:97:6D	Motorola	Motorola Mobility LLC, a Lenovo Company
6C:B0:CE	Netgear	Netgear
6C:CD:D6	Netgear	Netgear
6C:F0:49	GigaByte	Giga-Byte Technology Co.,Ltd.
6C:F2:D8	Canon	Canon Inc.
70:28:7D	Google	Google, Inc.
70:3A:CB	Google	Google, Inc.
70:3E:76	Arcadyan	Arcadyan Corporation
70:54:D2	Pegatron	Pegatron Corporation
70:5A:B6	Compal	Compal Information (Kunshan) Co., Ltd.
70:62:B8	DLink	D-Link International
70:66:2A	Sony	Sony Interactive Entertainment Inc.
70:71:BC	Pegatron	Pegatron Corporation
70:74:14	Murata	Murata Manufacturing Co., Ltd.
70:85:36	Arcadyan	Arcadyan Corporation
70:85:C2	ASRock	ASRock Incorporation
70:87:A7	Murata	Murata Manufacturing Co., Ltd.
70:89:76	Tuya	Tuya Smart Inc.
70:97:41	Arcadyan	Arcadyan Corporation
70:9E:29	Sony	Sony Interactive Entertainment Inc.
70:A7:41	Ubiquiti	Ubiquiti Inc
70:B7:E4	Broadcom	Broadcom Limited
74:10:E0	Broadcom	Broadcom Limited
74:12:13	Linksys	Linksys USA, Inc
74:13:6A	Motorola	Motorola Mobility LLC, a Lenovo Company
74:25:54	NVIDIA	NVIDIA Corporation
74:31:70	Arcadyan	Arcadyan Corporation
74:38:B7	Canon	Canon Inc.
74:42:7F	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
74:44:01	Netgear	Netgear
74:56:3C	GigaByte	Giga-Byte Technology Co.,Ltd.
74:67:5F	Compal	Compal Information(Kunshan)Co.,Ltd.
74:74:46	Google	Google, Inc.
74:7A:90	Murata	Murata Manufacturing Co., Ltd.
74:83:C2	Ubiquiti	Ubiquiti Inc
74:85:2A	Pegatron	Pegatron Corporation
74:90:BC	Arcadyan	Arcadyan Corporation
74:AC:B9	Ubiquiti	Ubiquiti Inc
74:B0:59	Motorola	Motorola Mobility LLC, a Lenovo Company
74:BE:F3	Motorola	Motorola Mobility LLC, a Lenovo Company
74:BF:C0	Canon	Canon Inc.
74:CA:60	Sonos	Sonos, Inc.
74:D4:35	GigaByte	Giga-Byte Technology Co.,Ltd.
74:DA:DA	DLink	D-Link International
74:F9:2C	Ubiquiti	Ubiquiti Inc
74:FA:29	Ubiquiti	Ubiquiti Inc
78:28:CA	Sonos	Sonos, Inc.
78:2B:64	Bose	Bose Corporation
78:32:1B	DLink	D-Link International
78:45:58	Ubiquiti	Ubiquiti Inc
78:4B:87	Murata	Murata Manufacturing Co., Ltd.
78:8A:20	Ubiquiti	Ubiquiti Inc
78:C8:81	Sony	Sony Interactive Entertainment Inc.
78:D2:94	Netgear	Netgear
78:D6:DC	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
78:DD:12	Arcadyan	Arcadyan Corporation
78:ED:BC	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
78:F2:9E	Pegatron	Pegatron Corporation
78:F5:05	Murata	Murata Manufacturing Co., Ltd.
7C:05:07	Pegatron	Pegatron Corporation
7C:46:85	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
7C:4F:B5	Arcadyan	Arcadyan Corporation
7C:67:AB	Roku	Roku, Inc
7C:7B:1C	Motorola	Motorola Mobility LLC, a Lenovo Company
7C:8A:E1	Compal	Compal Information (Kunshan) Co., Ltd.
7C:A0:5E	Motorola	Motorola Mobility LLC, a Lenovo Company
7C:A5:3E	Motorola	Motorola Mobility LLC, a Lenovo Company
7C:B8:DA	Murata	Murata Manufacturing Co., Ltd.
7C:C2:55	Super	Super Micro Computer, Inc.
7C:F0:E5	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
7C:F6:66	Tuya	Tuya Smart Inc.
7C:FF:4D	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
80:03:0D	Canon	Canon Inc.
80:23:95	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
80:2A:A8	Ubiquiti	Ubiquiti Inc
80:37:73	Netgear	Netgear
80:4A:F2	Sonos	Sonos, Inc.
80:58:F8	Motorola	Motorola Mobility LLC, a Lenovo Company
80:64:7C	Tuya	Tuya Smart Inc.
80:69:1A	Belkin	Belkin International Inc.
80:6C:1B	Motorola	Motorola Mobility LLC, a Lenovo Company
80:82:FE	Arcadyan	Arcadyan Corporation
80:99:9B	Murata	Murata Manufacturing Co., Ltd.
80:CC:9C	Netgear	Netgear
84:00:2D	Pegatron	Pegatron Corporation
84:00:EC	Shelly	Shelly Europe LTD
84:10:0D	Motorola	Motorola Mobility LLC, a Lenovo Company
84:16:0C	Broadcom	Broadcom Limited
84:1B:5E	Netgear	Netgear
84:57:EB	Motorola	Motorola Mobility LLC, a Lenovo Company
84:78:48	Ubiquiti	Ubiquiti Inc
84:90:0A	Arcadyan	Arcadyan Corporation
84:96:90	Murata	Murata Manufacturing Co., Ltd.
84:B8:B8	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
84:BA:3B	Canon	Canon Inc.
84:E3:42	Tuya	Tuya Smart Inc.
84:E6:57	Sony	Sony Interactive Entertainment Inc.
84:EA:ED	Roku	Roku, Inc
88:12:4E	Qualcomm	Qualcomm Inc.
88:30:8A	Murata	Murata Manufacturing Co., Ltd.
88:79:7E	Motorola	Motorola Mobility LLC, a Lenovo Company
88:87:17	Canon	Canon Inc.
88:A2:9E	Raspberry	Raspberry Pi (Trading) Ltd
88:AD:43	Pegatron	Pegatron Corporation
88:AE:1D	Compal	Compal Information (Kunshan) Co., Ltd.
88:B4:A6	Motorola	Motorola Mobility LLC, a Lenovo Company
88:DE:A9	Roku	Roku, Inc.
8A:C7:2E	Roku	Roku, Inc.
8C:0F:6F	Pegatron	Pegatron Corporation
8C:30:66	Ubiquiti	Ubiquiti Inc
8C:3B:AD	Netgear	Netgear
8C:45:00	Murata	Murata Manufacturing Co., Ltd.
8C:49:62	Roku	Roku, Inc
8C:4E:46	Motorola	Motorola Mobility LLC, a Lenovo Company
8C:64:A2	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
8C:84:74	Broadcom	Broadcom Limited
8C:CB:DF	Foxconn	Foxconn Interconnect Technology
8C:ED:E1	Ubiquiti	Ubiquiti Inc
8C:F1:12	Motorola	Motorola Mobility LLC, a Lenovo Company
8C:FD:F0	Qualcomm	Qualcomm Inc.
90:09:D0	Synology	Synology Incorporated
90:2B:34	GigaByte	Giga-Byte Technology Co.,Ltd.
90:41:B2	Ubiquiti	Ubiquiti Inc
90:47:48	Sony	Sony Interactive Entertainment Inc.
90:5A:08	Super	Super Micro Computer, Inc.
90:5C:44	Compal	Compal Broadband Networks, Inc.
90:68:C3	Motorola	Motorola Mobility LLC, a Lenovo Company
90:73:5A	Motorola	Motorola Mobility LLC, a Lenovo Company
90:B6:86	Murata	Murata Manufacturing Co., Ltd.
94:10:3E	Belkin	Belkin International Inc.
94:18:65	Netgear	Netgear
94:2A:6F	Ubiquiti	Ubiquiti Inc
94:3B:22	Netgear	Netgear
94:44:52	Belkin	Belkin International Inc.
94:65:2D	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
94:6A:7C	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
94:83:C4	GL	GL Technologies (Hong Kong) Limited
94:9F:3E	Sonos	Sonos, Inc.
94:A6:7E	Netgear	Netgear
94:DD:F8	Brother	Brother Industries, LTD.
94:DE:80	GigaByte	Giga-Byte Technology Co.,Ltd.
98:09:CF	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
98:25:4A	TPLink	TP-Link Systems Inc
98:28:A6	Compal	Compal Information (Kunshan) Co., Ltd.
98:29:A6	Compal	Compal Information (Kunshan) Co., Ltd.
98:9B:CB	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
98:A9:65	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
98:E7:9A	FoxconnNanJing	Foxconn(NanJing) Communication Co.,Ltd.
98:F1:70	Murata	Murata Manufacturing Co., Ltd.
98:FA:2E	Sony	Sony Interactive Entertainment Inc.
98:FC:11	CiscoLinksys	Cisco-Linksys, LLC
98:FE:54	Raspberry	Raspberry Pi (Trading) Ltd
9C:05:D6	Ubiquiti	Ubiquiti Inc
9C:21:83	Broadcom	Broadcom Limited
9C:32:CE	Canon	Canon Inc.
9C:37:CB	Sony	Sony Interactive Entertainment Inc.
9C:3D:CF	Netgear	Netgear
9C:50:D1	Murata	Murata Manufacturing Co., Ltd.
9C:5A:44	Compal	Compal Information (Kunshan) Co., Ltd.
9C:6B:00	ASRock	ASRock Incorporation
9C:93:4E	Xerox	Xerox Corporation
9C:AE:D3	Seiko	Seiko Epson Corporation
9C:B2:06	HMS	HMS Industrial Networks
9C:C7:A6	AVM	AVM GmbH
9C:F1:D4	Roku	Roku, Inc
A0:52:AB	Avm	Avm Electronics Pte Ltd
A0:91:A2	OnePlus	OnePlus Electronics (Shenzhen) Co., Ltd.
A0:92:08	Tuya	Tuya Smart Inc.
A0:BD:71	QUALCOMM	QUALCOMM Incorporated
A0:C9:A0	Murata	Murata Manufacturing Co., Ltd.
A0:CC:2B	Murata	Murata Manufacturing Co., Ltd.
A4:D7:3C	Seiko	Seiko Epson Corporation
A4:EE:57	Seiko	Seiko Epson Corporation
A4:F0:1F	Canon	Canon Inc.
A4:F8:FF	Ubiquiti	Ubiquiti Inc
A8:80:55	Tuya	Tuya Smart Inc.
A8:9C:6C	Ubiquiti	Ubiquiti Inc
A8:A1:59	ASRock	ASRock Incorporation
A8:B5:7C	Roku	Roku, Inc
A8:DD:BC	Tuya	Tuya Smart Inc.
A8:E3:EE	Sony	Sony Interactive Entertainment Inc.
AC:02:EF	Comsis	Comsis
AC:18:26	Seiko	Seiko Epson Corporation
AC:1F:6B	Super	Super Micro Computer, Inc.
AC:22:05	Compal	Compal Broadband Networks, Inc.
AC:3A:7A	Roku	Roku, Inc.
AC:3A:E2	NVIDIA	NVIDIA Corporation
AC:5F:EA	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
AC:8B:A9	Ubiquiti	Ubiquiti Inc
AC:AE:19	Roku	Roku, Inc
AC:BF:71	Bose	Bose Corporation
AC:C0:48	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
AC:D6:18	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
AC:F8:78	Tuya	Tuya Smart Inc.
B0:26:28	Broadcom	Broadcom Limited
B0:7C:8E	Brother	Brother Industries, LTD.
B0:A7:37	Roku	Roku, Inc.
B0:BD:6D	Echostreams	Echostreams Innovative Solutions
B0:D6:16	Super	Super Micro Computer, Inc.
B0:E8:92	Seiko	Seiko Epson Corporation
B0:EE:7B	Roku	Roku, Inc
B0:F2:08	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
B4:0A:D8	Sony	Sony Interactive Entertainment Inc.
B4:1F:4D	Sony	Sony Interactive Entertainment Inc.
B4:22:00	Brother	Brother Industries, LTD.
B4:2E:99	GigaByte	Giga-Byte Technology Co.,Ltd.
B4:75:0E	Belkin	Belkin International Inc.
B4:F2:67	Compal	Compal Broadband Networks, Inc.
B4:FB:E4	Ubiquiti	Ubiquiti Inc
B4:FC:7D	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
B8:06:0D	Tuya	Tuya Smart Inc.
B8:27:EB	Raspberry	Raspberry Pi Foundation
B8:3E:59	Roku	Roku, Inc.
B8:70:F4	Compal	Compal Information (Kunshan) Co., Ltd.
B8:88:E3	Compal	Compal Information (Kunshan) Co., Ltd.
B8:A1:75	Roku	Roku, Inc.
B8:CE:ED	Broadcom	Broadcom
B8:E9:37	Sonos	Sonos, Inc.
BC:05:43	AVM	AVM GmbH
BC:33:29	Sony	Sony Interactive Entertainment Inc.
BC:35:1E	Tuya	Tuya Smart Inc.
BC:5F:F4	ASRock	ASRock Incorporation
BC:60:A7	Sony	Sony Interactive Entertainment Inc.
BC:87:FA	Bose	Bose Corporation
BC:97:E1	Broadcom	Broadcom Limited
BC:C8:CC	Seiko	Seiko Epson Corporation
BC:D7:D4	Roku	Roku, Inc
BC:EC:A0	Compal	Compal Information (Kunshan) Co., Ltd.
C0:15:1B	Sony	Sony Interactive Entertainment Inc.
C0:25:06	AVM	AVM GmbH
C0:56:27	Belkin	Belkin International Inc.
C0:7C:D1	Pegatron	Pegatron Corporation
C0:98:79	Acer	Acer Inc.
C0:B5:50	Broadcom	Broadcom Limited
C0:C1:C0	CiscoLinksys	Cisco-Linksys, LLC
C0:EE:FB	OnePlus	OnePlus Tech (Shenzhen) Ltd
C0:F8:53	Tuya	Tuya Smart Inc.
C4:29:96	Signify	Signify B.V.
C4:38:75	Sonos	Sonos, Inc.
C4:41:1E	Belkin	Belkin International Inc.
C4:82:E1	Tuya	Tuya Smart Inc.
C8:0E:14	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
C8:3A:6B	Roku	Roku, Inc
C8:4A:A0	Sony	Sony Interactive Entertainment Inc.
C8:63:F1	Sony	Sony Interactive Entertainment Inc.
C8:7B:23	Bose	Bose Corporation
C8:B3:73	CiscoLinksys	Cisco-Linksys, LLC
C8:D7:19	CiscoLinksys	Cisco-Linksys, LLC
CC:35:D9	Ubiquiti	Ubiquiti Inc
CC:3F:1D	HMS	HMS Industrial Networks SLU
CC:6D:A0	Roku	Roku, Inc.
CC:8C:BF	Tuya	Tuya Smart Inc.
CC:CE:1E	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
D0:12:CB	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
D0:21:F9	Ubiquiti	Ubiquiti Inc
D0:32:E7	Tuya	Tuya Smart Inc.
D0:49:7C	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
D0:4D:2C	Roku	Roku, Inc.
D0:50:99	ASRock	ASRock Incorporation
D0:82:E8	Tuya	Tuya Smart Inc.
D0:82:EB	Tuya	Tuya Smart Inc.
D4:01:29	Broadcom	Broadcom
D4:04:E6	Broadcom	Broadcom Limited
D4:24:DD	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
D4:5D:DF	Pegatron	Pegatron Corporation
D4:80:8B	Seiko	Seiko Epson Corporation
D4:89:C1	Ubiquiti	Ubiquiti Inc
D4:A6:51	Tuya	Tuya Smart Inc.
D4:BE:DC	Roku	Roku, Inc
D4:E2:2F	Roku	Roku, Inc
D4:F7:D5	Sony	Sony Interactive Entertainment Inc.
D8:1F:12	Tuya	Tuya Smart Inc.
D8:31:34	Roku	Roku, Inc
D8:3A:DD	Raspberry	Raspberry Pi Trading Ltd
D8:49:2F	Canon	Canon Inc.
D8:5E:D3	GigaByte	Giga-Byte Technology Co.,Ltd.
D8:97:BA	Pegatron	Pegatron Corporation
D8:B3:70	Ubiquiti	Ubiquiti Inc
D8:C2:62	Ubiquiti	Ubiquiti Inc
D8:C8:0C	Tuya	Tuya Smart Inc.
D8:D6:68	Tuya	Tuya Smart Inc.
D8:EC:5E	Belkin	Belkin International Inc.
D8:FC:92	Tuya	Tuya Smart Inc.
DC:0E:A1	Compal	Compal Information (Kunshan) Co., Ltd.
DC:15:C8	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
DC:39:6F	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
DC:3A:5E	Roku	Roku, Inc.
DC:53:7C	Compal	Compal Broadband Networks, Inc.
DC:66:3A	Apacer	Apacer Technology Inc.
DC:83:BF	Seiko	Seiko Epson Corporation
DC:9F:DB	Ubiquiti	Ubiquiti Inc
DC:A6:32	Raspberry	Raspberry Pi Trading Ltd
DC:C2:C9	Canon	Canon Inc.
DC:CD:2F	Seiko	Seiko Epson Corporation
DC:FE:07	Pegatron	Pegatron Corporation
E0:08:55	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
E0:28:6D	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
E0:3E:44	Broadcom	Broadcom
E0:63:DA	Ubiquiti	Ubiquiti Inc
E0:69:95	Pegatron	Pegatron Corporation
E0:BB:9E	Seiko	Seiko Epson Corporation
E0:D5:5E	GigaByte	Giga-Byte Technology Co.,Ltd.
E4:38:83	Ubiquiti	Ubiquiti Inc
E4:3D:1A	Broadcom	Broadcom Limited
E4:41:22	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
E4:58:BC	Bose	Bose Corporation
E4:5F:01	Raspberry	Raspberry Pi Trading Ltd
E4:A8:DF	Compal	Compal Information (Kunshan) Co., Ltd.
E4:AE:E4	Tuya	Tuya Smart Inc.
E8:40:F2	Pegatron	Pegatron Corporation
E8:43:B6	QNAP	QNAP Systems, Inc.
E8:4D:EC	Xerox	Xerox Corporation
E8:6E:3A	Sony	Sony Interactive Entertainment Inc.
E8:9F:80	Belkin	Belkin International Inc.
E8:DF:70	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
EA:BE:A7	Sonos	Sonos, Inc.
EC:01:E2	Foxconn	Foxconn Interconnect Technology
EC:1A:59	Belkin	Belkin International Inc.
EC:74:8C	Sony	Sony Interactive Entertainment Inc.
EC:9B:75	Roku	Roku, Inc
EC:AA:A0	Pegatron	Pegatron Corporation
EC:B5:FA	Philips	Philips Lighting BV
F0:16:28	Technicolor	Technicolor (China) Technology Co., Ltd.
F0:76:1C	Compal	Compal Information (Kunshan) Co., Ltd.
F0:9F:C2	Ubiquiti	Ubiquiti Inc
F0:B0:14	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
F0:F6:C1	Sonos	Sonos, Inc.
F0:FA:BA	NVIDIA	NVIDIA Corporation
F4:64:12	Sony	Sony Interactive Entertainment Inc.
F4:81:39	Canon	Canon Inc.
F4:92:BF	Ubiquiti	Ubiquiti Inc
F4:A9:97	Canon	Canon Inc.
F4:E2:C6	Ubiquiti	Ubiquiti Inc
F8:0D:60	Canon	Canon Inc.
F8:17:2D	Tuya	Tuya Smart Inc.
F8:25:51	Seiko	Seiko Epson Corporation
F8:46:1C	Sony	Sony Interactive Entertainment Inc.
F8:5C:24	Sonos	Sonos Inc.
F8:A2:6D	Canon	Canon Inc.
F8:A9:63	Compal	Compal Information (Kunshan) Co., Ltd.
F8:B2:2C	Roku	Roku, Inc
F8:D0:27	Seiko	Seiko Epson Corporation
F8:D0:AC	Sony	Sony Interactive Entertainment Inc.
FC:0F:E6	Sony	Sony Interactive Entertainment Inc.
FC:26:8C	Signify	Signify B.V.
FC:3C:D7	Tuya	Tuya Smart Inc.
FC:45:96	Compal	Compal Information (Kunshan) Co., Ltd.
FC:57:08	Broadcom	Broadcom Limited
FC:67:1F	Tuya	Tuya Smart Inc.
FC:93:4E	Realtek	Realtek Semiconductor Corp.
FC:AA:14	GigaByte	Giga-Byte Technology Co.,Ltd.
FC:CA:40	Sony	Sony Interactive Entertainment Inc.
FC:EC:DA	Ubiquiti	Ubiquiti Inc
